code,dividend,count,record_months,fetched_date,monthly,source
2510,7.4,2,,2026-08-15,0;0;3.7;0;0;0;0;0;3.7;0;0;0,yfinance
2511,33.900000000000006,2,,2026-08-15,0;0;18.1;0;0;0;0;0;15.8;0;0;0,yfinance
2512,21.1,2,,2026-08-15,0;0;11;0;0;0;0;0;10.1;0;0;0,yfinance
2513,33.7,2,,2026-08-15,0;0;13;0;0;0;0;0;20.7;0;0;0,yfinance
2514,21.7,2,,2026-08-15,0;0;8;0;0;0;0;0;13.7;0;0;0,yfinance
2515,48.9,4,,2026-08-15,0;0;12;0;0;13;0;0;12.9;0;0;11,yfinance
2517,51.8,4,,2026-08-15,0;16.5;0;0;11.5;0;0;13.2;0;0;10.6;0,yfinance
2518,40.0,2,,2026-08-15,0;0;0;21;0;0;0;0;0;19;0;0,yfinance
2519,57.2,2,,2026-08-15,0;0;29.8;0;0;0;0;0;27.4;0;0;0,yfinance
2520,34.4,2,,2026-08-15,0;0;10;0;0;0;0;0;24.4;0;0;0,yfinance
2521,20.0,1,,2026-08-15,20;0;0;0;0;0;0;0;0;0;0;0,yfinance
2522,14.0,2,,2026-08-15,0;1;0;0;0;0;0;13;0;0;0;0,yfinance
2523,65.2,2,,2026-08-15,19.5;0;0;0;0;0;45.7;0;0;0;0;0,yfinance
2524,69.3,2,,2026-08-15,0;31.5;0;0;0;0;0;37.8;0;0;0;0,yfinance
2525,653.0,2,,2026-08-15,0;329;0;0;0;0;0;324;0;0;0;0,yfinance
2526,625.0,2,,2026-08-15,0;312;0;0;0;0;0;313;0;0;0;0,yfinance
2527,47.5,2,,2026-08-15,28.1;0;0;0;0;0;19.4;0;0;0;0;0,yfinance
2528,51.0,4,,2026-08-15,0;0;21;0;0;6;0;0;18;0;0;6,yfinance
2529,53.0,4,,2026-08-15,5;0;0;24;0;0;4;0;0;20;0;0,yfinance
2530,590.0,2,,2026-08-15,0;0;0;0;0;196;0;0;0;0;0;394,yfinance
2552,90.0,6,,2026-08-15,0;19;0;17;0;11;0;15;0;18;0;10,yfinance
2553,18.0,1,,2026-08-15,0;0;0;0;0;0;18;0;0;0;0;0,yfinance
2554,30.800000000000004,4,,2026-08-15,0;0;7.4;0;0;8.1;0;0;7.6;0;0;7.7,yfinance
2555,84.0,4,,2026-08-15,22;0;0;23;0;0;19;0;0;20;0;0,yfinance
2556,88.1,4,,2026-08-15,20.4;0;0;25.6;0;0;17.6;0;0;24.5;0;0,yfinance
2557,71.5,2,,2026-08-15,0;0;0;38.7;0;0;0;0;0;32.8;0;0,yfinance
2558,29.6,2,,2026-08-15,0;0;0;0;0;15.5;0;0;0;0;0;14.1,yfinance
2559,34.0,2,,2026-08-15,0;0;0;0;0;19.3;0;0;0;0;0;14.7,yfinance
2560,923.0,2,,2026-08-15,0;0;0;0;503;0;0;0;0;0;420;0,yfinance
2561,25.0,4,,2026-08-15,6;0;0;6;0;0;6;0;0;7;0;0,yfinance
2562,40.0,2,,2026-08-15,18;0;0;0;0;0;22;0;0;0;0;0,yfinance
2563,3.5999999999999996,2,,2026-08-15,0;1.9;0;0;0;0;0;1.7;0;0;0;0,yfinance
2564,153.0,4,,2026-08-15,7;0;0;69;0;0;16;0;0;61;0;0,yfinance
